ticker,company,cik,revenue,shares_outstanding,revenue_per_share
PCG,PG&E Corporation,0001004980,16759000000.0,2197942874.0,7.624856950672505
PM,Philip Morris International,0001413329,40648000000.0,1801783490.0,22.559869277079457
PSX,Phillips 66,0001534701,132376000000.0,400744022.0,330.32557626024925
PNW,Pinnacle West Capital,0000764622,5339939000.0,120905390.0,44.16626090863277
PNC,PNC Financial Services,0000713676,19211000000.0,523000000.0,36.732313575525815
POOL,Pool Corporation,0000945841,5289396000.0,36577686.0,144.60717936066268
PPG,PPG Industries,0000079879,15875000000.0,223426948.0,71.05230654629896
PPL,PPL Corporation,0000922224,9170000000.0,751041000.0,12.209719575895324
PFG,Principal Financial Group,0001126328,15625500000.0,217380912.0,71.88073624422
PG,Procter & Gamble,0000080424,84284000000.0,2324000685.0,36.26677072171345
PGR,Progressive Corporation,0000080661,87671000000.0,585906353.0,149.63312746328936
PLD,Prologis,0001045609,8790127000.0,929153000.0,9.460365515690096
PRU,Prudential Financial,0001137774,60774000000.0,348000000.0,174.63793103448276
PEG,Public Service Enterprise Group,0000788784,12168000000.0,498000000.0,24.433734939759034
PTC,PTC Inc.,0000857005,2739226000.0,118892000.0,23.03961578575514
PSA,Public Storage,0001393311,4824113000.0,175723561.0,27.4528524948342
PHM,PulteGroup,0000822416,17311953000.0,192724978.0,89.82724076377895
PWR,Quanta Services,0001050915,28479697000.0,149577564.0,190.4008611879787
QCOM,Qualcomm,0000804328,44284000000.0,1074000000.0,41.232774674115454
DGX,Quest Diagnostics,0001022079,11035000000.0,109866320.0,100.44024410756636
Q,Qnity Electronics,0002058873,4754000000.0,209658907.0,22.674925039077877
RL,Ralph Lauren Corporation,0001037038,7079000000.0,62600000.0,113.08306709265176
RJF,Raymond James Financial,0000720005,15912000000.0,197032070.0,80.75842678808581
RTX,RTX Corporation,0000101829,88603000000.0,1381700.0,64126.076572338425
O,Realty Income,0000726728,1327838000.0,933975000.0,1.421706148451511
REG,Regency Centers,0000910606,1553524000.0,182902234.0,8.493739885101677
REGN,Regeneron Pharmaceuticals,0000872589,14342900000.0,94410423.0,151.92072595628557
RF,Regions Financial Corporation,0001281761,104000000.0,863506691.0,0.12043913623826222
RSG,Republic Services,0001060391,16591000000.0,354400000.0,46.81433408577878
RMD,ResMed,0000943819,5146327000.0,145661749.0,35.330668726214455
RVTY,Revvity,0000031791,2856051000.0,112281000.0,25.43663665268389
HOOD,Robinhood Markets,0001783879,4473000000.0,232609957.0,19.22961535133253
ROK,Rockwell Automation,0001024478,8342000000.0,112400000.0,74.2170818505338
ROL,"Rollins, Inc.",0000084839,3761050000.0,481193751.0,7.816082382998361
ROP,Roper Technologies,0000882835,7902500000.0,106600000.0,74.13227016885554
ROST,Ross Stores,0000745732,22750559000.0,322333000.0,70.5809178706493
RCL,Royal Caribbean Group,0000884887,17935000000.0,270528303.0,66.29620561365071
SPGI,S&P Global,0000064040,15336000000.0,298800000.0,51.325301204819276
CRM,Salesforce,0001108524,41525000000.0,929000000.0,44.698600645855755
SNDK,Sandisk,0002023554,7355000000.0,148000000.0,49.695945945945944
SBAC,SBA Communications,0001034054,244498000.0,105666000.0,2.3138757973236426
SLB,Schlumberger,0000087347,35708000000.0,1495331485.0,23.87965501843225
STX,Seagate Technology,0001137789,9097000000.0,218106177.0,41.70904338944972
SRE,Sempra,0001032208,12418000000.0,652731668.0,19.02466297988778
NOW,ServiceNow,0001373715,13278000000.0,1047278000.0,12.67858200019479
SHW,Sherwin-Williams,0000089800,23574300000.0,247700000.0,95.17278966491723
SPG,Simon Property Group,0001063761,6364505000.0,8000.0,795563.125
SWKS,Skyworks Solutions,0000004127,4086900000.0,149900000.0,27.26417611741161
SJM,J.M. Smucker Company (The),0000091419,8726100000.0,106700000.0,81.78163074039362
SW,Smurfit Westrock,0002005951,31179000000.0,522310486.0,59.69437879522105
SNA,Snap-on,0000091440,4709300000.0,51913121.0,90.71502366424858
SOLV,Solventum,0001964738,8325000000.0,173490864.0,47.985235695177586
SO,Southern Company,0000092122,29553000000.0,1119391291.0,26.400955803040993
LUV,Southwest Airlines,0000092380,28063000000.0,746000000.0,37.61796246648794
SWK,Stanley Black & Decker,0000093556,15130400000.0,155036411.0,97.59255843454736
